epoch,train_loss,val_loss,train_dice,val_dice,train_bce,val_bce
1,0.373684881263309,0.240487946033477,0.7875499037636651,0.8637669978141781,0.161234785517056,0.10425494420528401
2,0.21364174650775003,0.18501876068115203,0.8815011677212181,0.8903025479316711,0.09514291409651401,0.07532130873203201
3,0.19731270713276303,0.17200165367126402,0.890912190490298,0.8975848011970521,0.08822489778863,0.069586456120014
4,0.19836569976144303,0.19336552119255002,0.8912730858061041,0.890039772987365,0.08963878570000301,0.08340529495477601
5,0.19532958931393002,0.192127591371536,0.893091167291005,0.8962713842391961,0.088420755949285,0.088398976325988
6,0.19063046210341902,0.173599939107894,0.895721946080525,0.9030563793182371,0.086352407895856,0.076656317412853
7,0.182028525325987,0.19324763917922902,0.9001397495799591,0.8938516268730161,0.082168275058269,0.08709926605224601
8,0.17474984108077102,0.18563263249397202,0.9043488241831461,0.902063777923583,0.079098665290408,0.087696409285068
9,0.172954047686523,0.17135103392601,0.9047403393851381,0.9014789128303521,0.077694386978944,0.07282994824647901
10,0.170674759321742,0.163855142116546,0.9063920661608371,0.9067206096649171,0.077066825939549,0.07057575041055601
11,0.16785675674014602,0.15835655593872,0.907463362322913,0.9116806697845451,0.075320119010077,0.070037225365638
12,0.16734985042942802,0.17372433948516802,0.9081636518902241,0.9056654734611511,0.07551350268059301,0.079389812707901
13,0.16064416413837002,0.150276131868362,0.9115385980606071,0.9161312384605401,0.07218276195393601,0.066407369941473
14,0.161379430452982,0.15323105591535502,0.911292246712578,0.9098669266700741,0.07267167652315501,0.06309798175096501
15,0.15551637833648202,0.15429214763641302,0.9142756144735541,0.9126164774894711,0.06979199312792801,0.066908624529838
16,0.15593233875433601,0.17842754530906602,0.914323931323157,0.899332720279693,0.070256269772847,0.077760265529155
17,0.16358341932296702,0.167320192933082,0.9103455482059051,0.903019700050354,0.07392896718449,0.07033989402651701
18,0.15953878906038002,0.161373898386955,0.9122850132518341,0.9098257675170891,0.07182380218638301,0.07119966626167201
19,0.146843141873677,0.14848583263158802,0.91872039937973,0.9165126428604121,0.065563541147443,0.064998474776744
20,0.143464300937122,0.146323167741298,0.920290276156531,0.9175268139839171,0.06375457745459301,0.06384998267889
21,0.14347975259357001,0.146402891397476,0.9207227620018851,0.9182478685379021,0.064202514449755,0.06465075886249501
22,0.146640832953982,0.133530213713645,0.918601183467441,0.9249866232872,0.06524201619625,0.058516837805509
23,0.15123906401130802,0.14152718460559802,0.9166308262613081,0.9200995788574211,0.06786989041831701,0.061626762747764005
24,0.15169408472379,0.138784711241722,0.9162324842876851,0.9230474581718441,0.06792656894524801,0.061832169324159005
25,0.151544095834096,0.143637168526649,0.916473304642571,0.915820867061615,0.06801740033759,0.059458035349845006
26,0.151617405520545,0.137942562580108,0.9163803890016341,0.9238692946434021,0.067997794177797,0.061811856746673007
27,0.149470442997084,0.13555343401432002,0.9173472816679211,0.9240699038505551,0.066817724655071,0.059623338341712004
28,0.14152703171306102,0.13020461654663001,0.921574102825588,0.9264785099029541,0.06310113467110501,0.056683126300573004
29,0.140319776144292,0.125040415287017,0.9223544475767341,0.9306734619140621,0.062674223659767,0.055713876754045
30,0.14034735690222802,0.12858922660350802,0.9223580107159081,0.929526087760925,0.062705367412832,0.058115314036607
