epoch,train_loss,val_loss,train_dice,val_dice,train_bce,val_bce
1,1.167536485566033,0.8750804028511041,0.23309484794404703,0.27032622051239,0.400631334119372,0.14540662908554
2,0.7553645110660121,0.6355451889038081,0.312663852585686,0.39794835138320905,0.06802836361858501,0.033493540585041004
3,0.479161978854073,0.379031084537506,0.5483364944987821,0.647676721096038,0.027498475174109003,0.026707800805568
4,0.39551277560657905,0.35019827675819404,0.629872213151719,0.675770947456359,0.025384987493356003,0.025969221115112
5,0.39051998202006005,0.331039476156234,0.6343837481074861,0.6917822971343991,0.024903730627563,0.022821774348616
6,0.37112216416994703,0.32249098324775605,0.652254630194769,0.6997025084495541,0.023376794964075003,0.022193496227264003
7,0.361717030684153,0.315086719036102,0.6608560190200801,0.7063679676055901,0.022573049952586,0.021454686537384002
8,0.341552701102362,0.317208749771118,0.679841701931423,0.7054141159057611,0.021394401409559,0.0226228672266
9,0.33499366529782604,0.291494390249252,0.6858352890014641,0.728711068153381,0.020828953271110003,0.020205456465482
10,0.32328089646498304,0.30035366606712305,0.6970760537253481,0.7188822412490841,0.020356949047909002,0.019235910326242
11,0.291132739649878,0.272244383096694,0.727089003721873,0.7454954009056091,0.018221742001672002,0.017739789128303003
12,0.28748684665891805,0.27248456859588605,0.730635801421271,0.745499033927917,0.018122647726701,0.01798359838128
13,0.290671224746439,0.26403719758987404,0.727438725100623,0.753353439807891,0.018109951533791,0.017390635192394
14,0.288495502273241,0.26347808527946404,0.72957439300749,0.7538838605880731,0.018069892702003,0.017361944928765
15,0.287507687144809,0.26941293573379504,0.7301996684074401,0.7476895160675041,0.017707355798946,0.017102451086044003
16,0.28199759504530103,0.259954760551452,0.7356081673304241,0.757184605598449,0.017605762239959,0.017139367997646
17,0.27986064343982203,0.25623060059547403,0.7374894795947601,0.760486147403717,0.017350122880604002,0.016716748625040002
18,0.287671832309828,0.260012171387672,0.7300498741997611,0.757105653762817,0.017721707539425,0.017117825075984
19,0.27271746412913,0.25996319603919904,0.7444858518706421,0.7573798260688781,0.01720331620011,0.017343024767935002
20,0.28134161546991904,0.255960991859436,0.7362477028634811,0.760967639923095,0.017589318042,0.016928631156682
