epoch,train_loss,val_loss,train_dice,val_dice,train_bce,val_bce
1,0.722743255747689,0.6331895613670341,0.36418070157368904,0.403346891403198,0.08692395711607401,0.036536454319953005
2,0.5374205650753441,0.496082662343978,0.48884973155127603,0.522940569877624,0.026270296424627002,0.019023225888609
3,0.49801041491826303,0.472269873619079,0.5295720163451301,0.552058352947235,0.027582429329554,0.024328224480152
4,0.470374236663182,0.41120834767818404,0.55851697397232,0.608885824680328,0.028891211024589,0.020094176322221
5,0.460552093452877,0.47058911371231005,0.567841807365417,0.559198746681213,0.028393898907634003,0.029787861466407002
6,0.45159926456875205,0.40247627913951806,0.5762421880298191,0.619268040657043,0.027841452724403002,0.021744316726922
7,0.390618136141035,0.43580417156219403,0.6352188461621601,0.5888522920608521,0.025836982034974,0.024656466186046003
8,0.36323448785146,0.31934587979316703,0.662031436390347,0.6992799224853511,0.025265924705399,0.018625803112983
9,0.323904780334896,0.26570874851942,0.6986314838727311,0.749796602249145,0.022536265062789003,0.015505349844694
10,0.304141191562016,0.300867856144905,0.716994289610121,0.7178804740905761,0.021135480786363,0.018748332411050003
11,0.292383140736156,0.306607818245887,0.727944942474365,0.7110088524818421,0.020328083357877003,0.017616671293973003
12,0.27472109471427003,0.296831740379333,0.7438910762468971,0.7194164614677431,0.018612172225283,0.016248203545808002
13,0.24559539314111,0.22663150656223202,0.7708500053087871,0.786328426361084,0.016445397979890003,0.012959932364523
14,0.238657820834053,0.24696343481540603,0.777139892419179,0.768161731243133,0.015797713742901003,0.015125166863203001
15,0.233111500594351,0.221676968455314,0.782493557400173,0.790809072494506,0.015605055574741001,0.012486042916774001
16,0.219446858988867,0.214825433075428,0.795196469624837,0.797564715385437,0.014643329358763,0.012390146285295
17,0.22335953703191502,0.222025301098823,0.79153997516632,0.7899797906875611,0.014899513529406001,0.012005092754960001
18,0.22438375922044101,0.23580578476190503,0.790458058993021,0.7768220887184141,0.014841818239953002,0.012627874232828
19,0.21888503256771302,0.20440993046760503,0.7955551528930661,0.8072096743583671,0.014440187779979002,0.011619607236236
20,0.21655450864632902,0.279879525899887,0.7978535638915161,0.7370309944152831,0.014408074145515001,0.016910522192716
21,0.21752456584241603,0.200949502408504,0.796633877224392,0.8108591222763061,0.014158442921108001,0.011808625623583001
22,0.199192691206932,0.192450984299182,0.814286736011505,0.8184478278160091,0.013479428751601002,0.010898815073072
23,0.202639470146762,0.197345178484916,0.8108022517098321,0.8139449014663691,0.013441720977425001,0.011290086545050001
24,0.210722017155753,0.188158911824226,0.8032429161601591,0.8224517550468441,0.013964932799339,0.010610665507614001
25,0.203219131569067,0.19603565299510903,0.8104805590311681,0.815237634658813,0.013699690993461001,0.011273290380835
26,0.187345353153016,0.191236782550811,0.8254012987878581,0.8202610664367671,0.012746652435097,0.011497852161526
27,0.183955365126331,0.181511712372303,0.828285692850748,0.8289459853172301,0.012241057248165,0.010457700528204
28,0.18681624503930402,0.18750512230396202,0.825723658932579,0.823772577762603,0.012539902719358,0.011277703896164
29,0.18122106877962701,0.21052476644515902,0.8305979528427121,0.8020149192810051,0.011819020553595001,0.01253968950361
30,0.194399965875678,0.22330463016033103,0.8185153423415291,0.791200301170349,0.012915308585597002,0.014504939571022002
